event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,min_customers,max_customers,mean_customers
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1001,Alabama,Autauga,01/12/2023 19:00:00,52,216,6873,1259.71634615384
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1003,Alabama,Baldwin,01/12/2023 15:45:00,1.25,239,716,340.8
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1003,Alabama,Baldwin,01/12/2023 19:15:00,3,251,1107,557.916666666666
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1009,Alabama,Blount,01/12/2023 16:30:00,3.5,204,778,413.571428571428
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1013,Alabama,Butler,01/13/2023 00:30:00,1.5,1372,2108,1747.33333333333
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1015,Alabama,Calhoun,01/12/2023 18:30:00,6.5,264,1243,612.384615384615
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1017,Alabama,Chambers,01/12/2023 20:30:00,18.5,235,1362,555.31081081081
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1021,Alabama,Chilton,01/12/2023 19:00:00,0.25,211,211,211
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1021,Alabama,Chilton,01/12/2023 19:30:00,1.75,203,291,249.571428571428
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1023,Alabama,Choctaw,01/12/2023 18:15:00,2,203,205,204.5
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1025,Alabama,Clarke,01/12/2023 19:30:00,1.5,320,321,320.5
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1027,Alabama,Clay,01/12/2023 19:30:00,4.75,212,563,383.947368421052
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1029,Alabama,Cleburne,01/12/2023 19:45:00,2,202,323,305.75
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1031,Alabama,Coffee,01/12/2023 19:30:00,0.25,459,459,459
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1031,Alabama,Coffee,01/12/2023 21:00:00,8.5,226,2527,867.970588235294
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1037,Alabama,Coosa,01/12/2023 19:45:00,48.25,206,1301,582.476683937823
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1039,Alabama,Covington,01/12/2023 14:15:00,0.25,200,200,200
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1039,Alabama,Covington,01/12/2023 20:45:00,6.5,235,1021,607.692307692307
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1041,Alabama,Crenshaw,01/12/2023 21:15:00,6.5,231,273,241.384615384615
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1043,Alabama,Cullman,01/12/2023 15:45:00,2.5,563,662,625.9
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1051,Alabama,Elmore,01/12/2023 19:00:00,45.75,278,8995,3199.31693989071
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1055,Alabama,Etowah,01/12/2023 17:15:00,8.5,323,1969,690.735294117647
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1059,Alabama,Franklin,01/12/2023 14:00:00,1.75,434,435,434.285714285714
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1061,Alabama,Geneva,01/13/2023 00:00:00,3,202,1290,391.5
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1063,Alabama,Greene,01/12/2023 16:15:00,11.25,348,929,754.511111111111
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1065,Alabama,Hale,01/12/2023 16:30:00,14,278,1095,463.464285714285
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1067,Alabama,Henry,01/12/2023 22:15:00,6.25,226,700,478.72
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1069,Alabama,Houston,01/12/2023 17:15:00,1.25,221,410,258.8
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1069,Alabama,Houston,01/13/2023 00:15:00,2.25,204,431,365.777777777777
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1069,Alabama,Houston,01/13/2023 02:45:00,0.5,204,210,207
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1073,Alabama,Jefferson,01/12/2023 14:30:00,0.25,299,299,299
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1073,Alabama,Jefferson,01/12/2023 16:15:00,8,208,4137,1820.90625
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1073,Alabama,Jefferson,01/13/2023 00:30:00,0.25,227,227,227
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1075,Alabama,Lamar,01/12/2023 20:15:00,3.5,260,532,401.285714285714
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1081,Alabama,Lee,01/12/2023 20:45:00,7.5,202,2634,848.3
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1085,Alabama,Lowndes,01/12/2023 18:30:00,1,270,394,363
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1085,Alabama,Lowndes,01/12/2023 19:45:00,4,218,997,764.0625
Alabama-0,Alabama,01/12/2023 14:00:00,01/13/2023 03:00:00,Natural Disaster,1085,Alabama,Lowndes,01/13/2023 01:45:00,2.5,241,244,242.9
