GEOID,NAME,STATEFP,Latitude,Longitude
13233,Polk,13,34.00202016193256,-85.18781325675612
21023,Bracken,21,38.68857936588089,-84.08987228879533
28153,Wayne,28,31.64082545949991,-88.69581630571125
42001,Adams,42,39.87161997816482,-77.21790670341889
04007,Gila,04,33.79996451155127,-110.81209658207892
05111,Poinsett,05,35.574075844920046,-90.66310530502756
13231,Pike,13,33.092663124101826,-84.38895303797611
17093,Kendall,17,41.59073087080558,-88.42878116087962
19101,Jefferson,19,41.03184429519209,-91.94879901477135
19095,Iowa,19,41.68624067003962,-92.06518780970293
31143,Polk,31,41.18687886546379,-97.56821047857579
31137,Phelps,31,40.51101834588764,-99.41410686507294
38103,Wells,38,47.5874671044256,-99.66093132285911
39045,Fairfield,39,39.751613305472716,-82.63065722775579
18117,Orange,18,38.54168181900538,-86.49514515857544
46037,Day,46,45.36721312911429,-97.60735873220386
48125,Dickens,48,33.6161682203937,-100.77888550045972
26137,Otsego,26,45.02124713208512,-84.59917633023447
27029,Clearwater,27,47.57790261961595,-95.37901107809533
40093,Major,40,36.31174227986274,-98.53565338095859
48311,McMullen,48,28.35264493745156,-98.56763523107722
06049,Modoc,06,41.5897153747519,-120.72518076396001
17031,Cook,17,41.839915728713066,-87.81689795192428
17075,Iroquois,17,40.747263073260825,-87.82442242086692
28139,Tippah,28,34.768445122173226,-88.9089350006933
27159,Wadena,27,46.585886039459574,-94.96954926290987
30051,Liberty,30,48.56192025665645,-111.02309914674487
29171,Putnam,29,40.47901724193848,-93.01620422936185
48017,Bailey,48,34.06858825185313,-102.82988444048937
08121,Washington,08,39.970981544959194,-103.20151663480024
17189,Washington,17,38.352517999609326,-89.4106148709647
19151,Pocahontas,19,42.73424355640664,-94.67852389542
19117,Lucas,19,41.02948215773449,-93.32780063766477
21087,Green,21,37.26343490409017,-85.55282817168705
26111,Midland,26,43.64679924437386,-84.38815835986715
39119,Muskingum,39,39.9654979109365,-81.94437056386707
42131,Wyoming,42,41.518354538959024,-76.0164691320074
48139,Ellis,48,32.34835244617284,-96.7947622892569
48003,Andrews,48,32.3048845589432,-102.6376596676896
50015,Lamoille,50,44.60708894162033,-72.64176046936768
46025,Clark,46,44.858401598168115,-97.72950299330725
48317,Martin,48,32.30600509312007,-101.95131559551803
20141,Osborne,20,39.350311731745045,-98.76791000395035
13149,Heard,13,33.29688018090707,-85.12835200622834
19195,Worth,19,43.37739396152184,-93.2608487558541
21213,Simpson,21,36.74182166950618,-86.58272585583744
28141,Tishomingo,28,34.740434197919726,-88.2392465189147
28131,Stone,28,30.78999211251125,-89.11762627822348
27051,Grant,27,45.93416066208868,-96.01214188027888
31095,Jefferson,31,40.17576847281546,-97.14262415783901
46013,Brown,46,45.58980446211503,-98.35157721196944
01109,Pike,01,31.80275352535269,-85.94076270852311
13217,Newton,13,33.554547227312355,-83.85041413748145
17009,Brown,17,39.96138258303111,-90.75037213650369
17005,Bond,17,38.88663643996958,-89.43559090883053
19041,Clay,19,43.08256675434533,-95.1511161069588
21211,Shelby,21,38.21572122574225,-85.19546637797153
31115,Loup,31,41.913719606334865,-99.45440415492473
31181,Webster,31,40.176424498220655,-98.50001644117391
39005,Ashland,39,40.846035474786234,-82.2704647361258
31077,Greeley,31,41.567434581988344,-98.52145118854591
54079,Putnam,54,38.50866079090127,-81.90903131367043
38007,Billings,38,47.02366197582935,-103.37628024720372
48151,Fisher,48,32.74277382954928,-100.40213293071685
48295,Lipscomb,48,36.277792829283925,-100.27317751655586
20137,Norton,20,39.784481059583314,-99.90284945928676
24043,Washington,24,39.60360263797092,-77.81327890935192
28023,Clarke,28,32.041423966873225,-88.68945599711437
28077,Lawrence,28,31.55008621069484,-90.10673466137253
30001,Beaverhead,30,45.13286812114116,-112.8992549050831
31007,Banner,31,41.5463470032204,-103.7110730372255
38019,Cavalier,38,48.772377971138155,-98.46469350906456
29145,Newton,29,36.90554827272315,-94.33929534996035
02185,North Slope,02,69.31356173889529,-153.47938789876306
13227,Pickens,13,34.46384895265089,-84.46538875869268
18005,Bartholomew,18,39.20584271180692,-85.89741899667025
19033,Cerro Gordo,19,43.081571998240314,-93.26076812518579
21137,Lincoln,21,37.45483747573984,-84.660962626797
29065,Dent,29,37.60643902666937,-91.50769777140559
13249,Schley,13,32.26261061646591,-84.31482826613913
31035,Clay,31,40.52440403819123,-98.0513042084364
19077,Guthrie,19,41.683831896767444,-94.50107981326781
19001,Adair,19,41.3307390565958,-94.47088986435767
48189,Hale,48,34.070461897568244,-101.82685026053227
51640,Galax,51,36.66987855703702,-80.91535955255343
55113,Sawyer,55,45.88000793225166,-91.1445791569222
48421,Sherman,48,36.27769043003236,-101.89336959276416
08083,Montezuma,08,37.33884554533862,-108.59659471864906
20147,Phillips,20,39.784597879268034,-99.34670116826703
21053,Clinton,21,36.7276110005428,-85.13649597440903
24001,Allegany,24,39.62124097372908,-78.69720875646664
28107,Panola,28,34.36379327128088,-89.95074157988304
48271,Kinney,48,29.350283831401644,-100.41789074532085
35061,Valencia,35,34.71529260886289,-106.80880168961404
05129,Searcy,05,35.91112647525215,-92.69949013537553
13043,Candler,13,32.40337821370332,-82.07346308719745
18065,Henry,18,39.93109138293434,-85.39649266718038
19037,Chickasaw,19,43.06009248852653,-92.31764081685618
19157,Poweshiek,19,41.68611488662479,-92.53207311168485
26119,Montmorency,26,45.02755950278375,-84.12768274243594
29115,Linn,29,39.87046969252387,-93.10686666821246
38015,Burleigh,38,46.977516986099296,-100.46892039069144
31039,Cuming,31,41.9163605568557,-96.78734431724476
41023,Grant,41,44.4912703839599,-119.00717682672008
46079,Lake,46,44.021932671058764,-97.12918826461913
48415,Scurry,48,32.74617181428638,-100.91637449075377
48069,Castro,48,34.53005085350723,-102.26169379365058
72077,Juncos,72,18.22301110382365,-65.9090414492587
39067,Harrison,39,40.29366135646626,-81.09137974317905
48079,Cochran,48,33.604266104738684,-102.82855291899827
20187,Stanton,20,37.563048555869315,-101.78427156764198
12087,Monroe,12,25.272894219233628,-81.12057054113048
12033,Escambia,12,30.667920530289074,-87.3627693924714
17091,Kankakee,17,41.13773507241823,-87.86180756970742
20119,Meade,20,37.238260402259066,-100.36556674880879
27119,Polk,27,47.77399400177447,-96.40228969354429
28113,Pike,28,31.174902587820743,-90.40414031893431
27161,Waseca,27,44.02210599263213,-93.58728666963238
40025,Cimarron,40,36.748264598148914,-102.51780002419073
30029,Flathead,30,48.29505456555145,-114.04922128679438
49005,Cache,49,41.72264453656081,-111.74348373972786
05079,Lincoln,05,33.956987008829095,-91.73443275945915
13287,Turner,13,31.716357781127748,-83.62406074230528
19127,Marshall,19,42.03585628928401,-92.99891890737304
29215,Texas,29,37.3171070530555,-91.9643974422108
13023,Bleckley,13,32.43458315097263,-83.3276896179132
39055,Geauga,39,41.499550535505605,-81.17856662308992
40053,Grant,40,36.79614562613181,-97.78605742590594
29055,Crawford,29,37.97651224098216,-91.3041232404893
48451,Tom Green,48,31.40454865694671,-100.46248888974075
48393,Roberts,48,35.838098773157355,-100.81319410065231
48075,Childress,48,34.52929885403456,-100.20777438429425
72151,Yabucoa,72,18.07053537195373,-65.895768717455
01059,Franklin,01,34.441738880388534,-87.84367502325202
